Contaminant,Contaminant Type,Contamination Area,Contamination Source,Land Use Type,Military_ID,Date of Pollution Event,Ongoing or Historic Contamination,Ahupuaʻa,Detection Level,Advisory/Regulatory Level,Media where contaminant was measured,Most likely impacted water body,Threat of spread?,Relative Health Risk,Community Health Risk,Other Notes,Year Published,Source,ID,MAP Notes,Coordinates,...23,Start Year,End Year
TPH (Residual Fuels),Petroleum,Former ʻAiea Military Reservation,Former ʻAiea Military Reservation,Urban,1,1924-2005,Historic,Hālawa,"1,500 mg/kg","HDOH EAL: 500; C/I: 1,000 mg/kg",Soil (depth not specified),"ʻAiea Bay, drinking water aquifer",Potential to contaminate vulnerable drinking water aquifer,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Located at end of Pearl Harbor bike path, potential exposure through drinking water",NA,NA,NA,207,NA,157.9334870°W 21.3755156°N,NA,1924,2005
TPH (Middle Distillates),Petroleum,Hālawa View Apartments,"Former wastewater treatment facility, Aboveground storage tank removal area",Urban,1,1900s-1971,Contained,Hālawa,"34,000 µg/L",HDOH EAL: 640 µg/L (unrestricted),Groundwater,Hālawa Stream,Contamination is in isolated concrete rectangular basin. Should not pose exposure risk unless further exposed,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","New apartment building, potential pathway to residents if contamination improperly contained",Site location p.20,2023,"(DOH, 2023) EHE Halawa View Apts.pdf",208,NA,157.9365163°W 21.3649811°N,NA,1900,1971
1-Methylnaphthalene,Polycyclic Aromatic Hydrocarbons (PAHs),Hālawa View Apartments,"Former wastewater treatment facility, Aboveground storage tank removal area",Urban,1,1900s-1971,Contained,Hālawa,3.0 µg/L,HDOH EAL: 2.1 µg/L,Groundwater,Hālawa Stream,Contamination is in isolated concrete rectangular basin. Should not pose exposure risk unless further exposed,"Exposure to methylnaphthalene can lead to respiratory irritation, coughing, and shortness of breath. Prolonged exposure may cause liver and kidney damage, and it is potentially a lung carcinogen. It can also cause skin and eye irritation upon direct contact.","New apartment building, potential pathway to residents if contamination improperly contained",NA,2023,NA,209,NA,157.9365163°W 21.3649811°N,NA,1900,1971
Phenanthrene,Polycyclic Aromatic Hydrocarbons (PAHs),Hālawa View Apartments,"Former wastewater treatment facility, Aboveground storage tank removal area",Urban,1,1900s-1971,Contained,Hālawa,53.0 µg/L,HDOH EAL: 2.3 µg/L,Groundwater,Hālawa Stream,Contamination is in isolated concrete rectangular basin. Should not pose exposure risk unless further exposed,"Exposure to phenanthrene can cause skin and respiratory irritation, with potential for dermatitis and bronchitis. Long-term exposure may increase cancer risk due to genotoxic effects. Eye irritation and systemic toxicity are also concerns with high-level exposure","New apartment building, potential pathway to residents if contamination improperly contained",NA,2023,NA,210,NA,157.9365163°W 21.3649811°N,NA,1900,1971
Anthracene,Polycyclic Aromatic Hydrocarbons (PAHs),Hālawa View Apartments,"Former wastewater treatment facility, Aboveground storage tank removal area",Urban,1,1900s-1971,Contained,Hālawa,2.1 µg/L,HDOH EAL: 0.02 µg/L,Groundwater,Hālawa Stream,Contamination is in isolated concrete rectangular basin. Should not pose exposure risk unless further exposed,"Exposure to anthracene can cause skin and eye irritation. Inhalation may lead to respiratory irritation, and ingestion can cause gastrointestinal distress. While not classified as a carcinogen, anthracene can be present with other carcinogenic PAHs.","New apartment building, potential pathway to residents if contamination improperly contained",NA,2023,NA,211,NA,157.9365163°W 21.3649811°N,NA,1900,1971
Fluoranthene,Polycyclic Aromatic Hydrocarbons (PAHs),Hālawa View Apartments,"Former wastewater treatment facility, Aboveground storage tank removal area",Urban,1,1900s-1971,Contained,Hālawa,3.6 µg/L,HDOH EAL: 0.8 µg/L,Groundwater,Hālawa Stream,Contamination is in isolated concrete rectangular basin. Should not pose exposure risk unless further exposed,"Exposure to fluoranthene can lead to skin and eye irritation and respiratory issues if inhaled. While not classified as a carcinogen, fluoranthene is often found with other carcinogenic PAHs, posing potential health risks through long-term exposure.","New apartment building, potential pathway to residents if contamination improperly contained",NA,2023,NA,212,NA,157.9365163°W 21.3649811°N,NA,1900,1971
Benzo(a)anthracene,Polycyclic Aromatic Hydrocarbons (PAHs),Hālawa View Apartments,"Former wastewater treatment facility, Aboveground storage tank removal area",Urban,1,1900s-1971,Contained,Hālawa,0.77 µg/L,HDOH EAL: 0.027 µg/L,Groundwater,Hālawa Stream,Contamination is in isolated concrete rectangular basin. Should not pose exposure risk unless further exposed,"Chronic exposure to benzo(a)anthracene and other PAHs can lead to diminished immune function, respiratory issues, liver damage, and other systemic effects​, as well as causing genetic mutations that may lead to cancer","New apartment building, potential pathway to residents if contamination improperly contained",NA,2023,NA,213,NA,157.9365163°W 21.3649811°N,NA,1900,1971
Chrysene,Polycyclic Aromatic Hydrocarbons (PAHs),Hālawa View Apartments,"Former wastewater treatment facility, Aboveground storage tank removal area",Urban,1,1900s-1971,Contained,Hālawa,1.6 µg/L,HDOH EAL: 1.0 µg/L,Groundwater,Hālawa Stream,Contamination is in isolated concrete rectangular basin. Should not pose exposure risk unless further exposed,"Chrysene is classified as a possible human carcinogen. Exposure can cause skin, eye, and respiratory irritation, and chronic exposure may increase cancer risk. Chrysene's health effects are compounded by its presence in mixtures with other PAHs.","New apartment building, potential pathway to residents if contamination improperly contained",NA,2023,NA,214,NA,157.9365163°W 21.3649811°N,NA,1900,1971
Benzo(a)pyrene,Polycyclic Aromatic Hydrocarbons (PAHs),Hālawa View Apartments,"Former wastewater treatment facility, Aboveground storage tank removal area",Urban,1,1900s-1971,Contained,Hālawa,0.19 µg/L,HDOH EAL: 1.6 µg/L,Groundwater,Hālawa Stream,Contamination is in isolated concrete rectangular basin. Should not pose exposure risk unless further exposed,"Exposure to BaP strongly associated with increased risk of cancer (lung, bladder, skin). Adverse affects on reproductive health: decreased fertility and fetal abnormalities. Mutagenic. Link to cardiovascular disease and stroke","New apartment building, potential pathway to residents if contamination improperly contained",NA,2023,NA,215,NA,157.9365163°W 21.3649811°N,NA,1900,1971
Dieldrin,Legacy Pesticides,Hālawa View Apartments,"Former wastewater treatment facility, Aboveground storage tank removal area",Urban,1,1900s-1971,Contained,Hālawa,0.084 µg/L,HDOH EAL: 0.0019 µg/L,Groundwater,Hālawa Stream,Contamination is in isolated concrete rectangular basin. Should not pose exposure risk unless further exposed,"Short-term exposure can cause symptoms such as headaches, dizziness, nausea, and irritability. Long-term exposure can lead to more severe health issues, including liver damage, neurotoxicity (such as seizures and tremors), and immune system suppression. Sttudies have linked exposure to liver and lung cancer","New apartment building, potential pathway to residents if contamination improperly contained",NA,2023,NA,216,NA,157.9365163°W 21.3649811°N,NA,1900,1971
Polychlorinated Biphenyls (PCBs),Polychlorinated Biphenyls (PCBs),Hālawa View Apartments,"Former wastewater treatment facility, Aboveground storage tank removal area",Urban,1,1900s-1971,Contained,Hālawa,2.9 µg/L,HDOH EAL: 0.014 µg/L,Groundwater,Hālawa Stream,Contamination is in isolated concrete rectangular basin. Should not pose exposure risk unless further exposed,"Exposure to PCBs can cause skin conditions like chloracne and eye irritation. Chronic exposure may lead to liver damage, immune system suppression, endocrine disruption, and increased cancer risk. PCBs are classified as probable human carcinogens and can cause neurodevelopmental issues in children.","New apartment building, potential pathway to residents if contamination improperly contained",NA,2023,NA,217,NA,157.9365163°W 21.3649811°N,NA,1900,1971
Heptachlor,Legacy Pesticides,Hālawa Military Housing Neighborhood,Residential Termiticide Use,Urban,1,1940s-1990,Historic,Hālawa,23 mg/kg,HDOH EAL: 1.3 mg/kg; C/I: 5.6 mg/kg,Soil (depth not specified),"Hālawa Stream, GW",Likely contamination through groundwater to Halawa stream,"Short-term exposure can cause symptoms such as dizziness, headaches, irritability, and convulsions. Long-term exposure has been linked to liver damage, immune system suppression, and increased cancer risk, particularly liver and adrenal tumors",Drinking water contamination not considered a threat. Potential direct dermal exposure from nearby workers,Halawa Military Communities (ID 218).png,2007,"(OMC, 2007) Final Pesticide Soil MP, Ohana Military Communities LLC.pdf",218,NA,157.9241894°W 21.3754122°N,NA,1940,1990
TPH (Middle Distillates),Petroleum,Hawaiian cement Office Parking Lot,Aboveground storage tank removal area,Urban,1,1973-1990s,Contained,Hālawa,"4,310 mg/kg",HDOH EAL: 180 mg/kg; C/I: 210 mg/kg,Shallow Soil (0-3 ft.),"Hālawa Stream, GW",Likely contamination through groundwater to Halawa stream,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.",Drinking water contamination not considered a threat. Potential direct dermal exposure from nearby workers,site location: p.25,2018,"(DOH, 2018) EHA: Hawaiian Cement Parking Lot.pdf",219,NA,157.9029513°W 21.3743053°N,NA,1973,1990
Chlordane,Legacy Pesticides,Island Palm Communities,Residential Termiticide Use,Mixed,1,1914-1990,Contained,Hālawa,73 mg/kg,HDOH EAL: 17 mg/kg; C/I: 23 mg/kg,Soil (depth not specified),"Hālawa Stream, GW",Likely contamination through groundwater to Halawa stream,"Neurotoxicological effects: headaches tremors, seizures, parkinsons disease. Causes liver damage. Increased incidence of liver and lung tumors with prolonged exposure. Affects female fertility, menstrual cycles, birth defects, other endocrine issues. Ingestion causes GI issues",Soil management plan (2012) details plans to excavate contaminated soil into burial pits to limit future residential exposure,site location: https://eha-cloud.doh.hawaii.gov/iHEER/#!/viewer?siteId=1160 Coast Guard MFH Red Hill Makai.png,2012,"SMP: (Terta Tech, 2012) Pesticde Soil MP, Red Hill Aliamanu Military Reservation.pdf. Background info: (Tetra Tech, 2011) Pesticide Soil Invest. and MP. Island Palm Communities LLC.pdf",220,NA,157.9098866°W 21.3679580°N,NA,1914,1990
Dieldrin,Legacy Pesticides,Island Palm Communities,Residential Termiticide Use,Mixed,1,1914-1990,Contained,Hālawa,11 mg/kg,HDOH EAL: 2.5 mg/kg; C/I: 24 mg/kg,Soil (depth not specified),"Hālawa Stream, GW",Likely contamination through groundwater to Halawa stream,"Short-term exposure can cause symptoms such as headaches, dizziness, nausea, and irritability. Long-term exposure can lead to more severe health issues, including liver damage, neurotoxicity (such as seizures and tremors), and immune system suppression. Sttudies have linked exposure to liver and lung cancer",Soil management plan (2012) details plans to excavate contaminated soil into burial pits to limit future residential exposure,NA,NA,NA,221,NA,157.9098866°W 21.3679580°N,NA,1914,1990
DDT Compounds,Legacy Pesticides,Red Hill Naval Housing Area,Residential Termiticide Use,Urban,1,1943-1990,Historic,Hālawa,190 mg/kg,HDOH EAL: 1.8 mg/kg; C/I 5.6 mg/kg,Soil (depth not specified),Groundwater,-,"DDT exposure has been linked to neurodevelopmental effects, including impaired cognitive function, learning disabilities, and behavioral disorders. In animal studies, prenatal and early-life exposure to DDT has been associated with alterations in brain structure and function. Also reproductive abornamilities","In 2006, buildings were proposed for demolition. Residents stil living there.",p.62: sample location,2007,https://drive.google.com/file/d/1E8A439CFzU520UhxiODVWQrZhWf5wkzb/view?usp=drive_link,222,NA,157.9067172°W 21.3668413°N,NA,1943,1990
DDT Compounds,Legacy Pesticides,Red Hill Naval Housing Area,Residential Termiticide Use,Urban,1,1943-1990,Historic,Hālawa,44 mg/kg,HDOH EAL: 1.9 mg/kg; C/I 5.6 mg/kg,Soil (depth not specified),Groundwater,-,"DDE is a breakdown product of DDT. Short-term exposure typically results in minimal acute symptoms, but long-term exposure potentially causes reproductive and developmental problems, liver damage, and disruption of the endocrine system. There is also evidence that suggests exposure may be associated with breast cancer","In 2006, buildings were proposed for demolition. Residents stil living there.",NA,NA,"(OMC, 2006) Final Phase I ESA: Red Hill Naval Housing Area.pdf",223,NA,157.9067172°W 21.3668413°N,NA,1943,1990
