Contaminant,Contaminant Type,Contamination Area,Contamination Source,Land Use Type,Military_ID,Date of Pollution Event,Ongoing or Historic Contamination,Ahupuaʻa,Detection Level,Advisory/Regulatory Level,Media where contaminant was measured ,Most likely impacted water body,Threat of spread?,Relative Health Risk,Community Health Risk,Other Notes,Year Published,Source,ID,MAP Notes,Coordinates,
Fluoranthene,Polycyclic aromatic hydrocarbon (PAHs),Hālawa View Apartments,"Former wastewater treatment facility, Aboveground storage tank removal area",Urban,1,1900s-1971,Contained,Hālawa,3.6 µg/L,HDOH EAL: 0.8 µg/L,Groundwater,Hālawa Stream,Contamination is in isolated concrete rectangular basin. Should not pose exposure risk unless further exposed," Exposure to fluoranthene can lead to skin and eye irritation and respiratory issues if inhaled. While not classified as a carcinogen, fluoranthene is often found with other carcinogenic PAHs, posing potential health risks through long-term exposure.","New apartment building, potential pathway to residents if contamination improperly contained",,2023,,212,,157.9365163°W 21.3649811°N ,
Benzo(a)anthracene ,Polycyclic aromatic hydrocarbon (PAHs),Hālawa View Apartments,"Former wastewater treatment facility, Aboveground storage tank removal area",Urban,1,1900s-1971,Contained,Hālawa,0.77 µg/L,HDOH EAL: 0.027 µg/L,Groundwater,Hālawa Stream,Contamination is in isolated concrete rectangular basin. Should not pose exposure risk unless further exposed,"Chronic exposure to benzo(a)anthracene and other PAHs can lead to diminished immune function, respiratory issues, liver damage, and other systemic effects​, as well as causing genetic mutations that may lead to cancer","New apartment building, potential pathway to residents if contamination improperly contained",,2023,,213,,157.9365163°W 21.3649811°N ,
Chrysene,Polycyclic aromatic hydrocarbon (PAHs),Hālawa View Apartments,"Former wastewater treatment facility, Aboveground storage tank removal area",Urban,1,1900s-1971,Contained,Hālawa,1.6 µg/L,HDOH EAL: 1.0 µg/L,Groundwater,Hālawa Stream,Contamination is in isolated concrete rectangular basin. Should not pose exposure risk unless further exposed,"Chrysene is classified as a possible human carcinogen. Exposure can cause skin, eye, and respiratory irritation, and chronic exposure may increase cancer risk. Chrysene's health effects are compounded by its presence in mixtures with other PAHs.","New apartment building, potential pathway to residents if contamination improperly contained",,2023,,214,,157.9365163°W 21.3649811°N ,
Benzo(a)pyrene,Polycyclic aromatic hydrocarbon (PAHs),Hālawa View Apartments,"Former wastewater treatment facility, Aboveground storage tank removal area",Urban,1,1900s-1971,Contained,Hālawa,0.19 µg/L,HDOH EAL: 1.6 µg/L,Groundwater,Hālawa Stream,Contamination is in isolated concrete rectangular basin. Should not pose exposure risk unless further exposed,"Exposure to BaP strongly associated with increased risk of cancer (lung, bladder, skin). Adverse affects on reproductive health: decreased fertility and fetal abnormalities. Mutagenic. Link to cardiovascular disease and stroke","New apartment building, potential pathway to residents if contamination improperly contained",,2023,,215,,157.9365163°W 21.3649811°N ,
Dieldrin,Organochlorine pesticide,Hālawa View Apartments,"Former wastewater treatment facility, Aboveground storage tank removal area",Urban,1,1900s-1971,Contained,Hālawa,0.084 µg/L,HDOH EAL: 0.0019 µg/L,Groundwater,Hālawa Stream,Contamination is in isolated concrete rectangular basin. Should not pose exposure risk unless further exposed,"Short-term exposure can cause symptoms such as headaches, dizziness, nausea, and irritability. Long-term exposure can lead to more severe health issues, including liver damage, neurotoxicity (such as seizures and tremors), and immune system suppression. Sttudies have linked exposure to liver and lung cancer","New apartment building, potential pathway to residents if contamination improperly contained",,2023,,216,,157.9365163°W 21.3649811°N ,
Polychlorinated Biphenyls (PCBs),Chlorinated hydrocarbon,Hālawa View Apartments,"Former wastewater treatment facility, Aboveground storage tank removal area",Urban,1,1900s-1971,Contained,Hālawa,2.9 µg/L,HDOH EAL: 0.014 µg/L,Groundwater,Hālawa Stream,Contamination is in isolated concrete rectangular basin. Should not pose exposure risk unless further exposed,"Exposure to PCBs can cause skin conditions like chloracne and eye irritation. Chronic exposure may lead to liver damage, immune system suppression, endocrine disruption, and increased cancer risk. PCBs are classified as probable human carcinogens and can cause neurodevelopmental issues in children.","New apartment building, potential pathway to residents if contamination improperly contained",,2023,,217,,157.9365163°W 21.3649811°N ,
Heptachlor,Organochlorine pesticide,Hālawa Military Housing Neighborhood,Residential Termiticide Use,Urban,1,1940s-1990,Historic,Hālawa,23 mg/kg,HDOH EAL: 1.3 mg/kg; C/I: 5.6 mg/kg,Soil,"Hālawa Stream, GW",Likely contamination through groundwater to Halawa stream,"Short-term exposure can cause symptoms such as dizziness, headaches, irritability, and convulsions. Long-term exposure has been linked to liver damage, immune system suppression, and increased cancer risk, particularly liver and adrenal tumors",Drinking water contamination not considered a threat. Potential direct dermal exposure from nearby workers,Halawa Military Communities (ID 218).png,2007,"(OMC, 2007) Final Pesticide Soil MP, Ohana Military Communities LLC.pdf",218,,157.9241894°W 21.3754122°N ,
TPH (Middle Distillates),Petroleum hydrocarbon,Hawaiian cement Office Parking Lot,Aboveground storage tank removal area,Urban,1,1973-1990s,Contained,Hālawa,"4,310 mg/kg",HDOH EAL: 180 mg/kg; C/I: 210 mg/kg,Surface Soil (1 ft bgs),"Hālawa Stream, GW",Likely contamination through groundwater to Halawa stream,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.",Drinking water contamination not considered a threat. Potential direct dermal exposure from nearby workers,site location: p.25,2018,"(DOH, 2018) EHA: Hawaiian Cement Parking Lot.pdf",219,,157.9029513°W 21.3743053°N ,
Chlordane,Organochlorine pesticide,Island Palm Communities,Residential Termiticide Use,Mixed,1,1914-1990,Contained,Hālawa,73 mg/kg,HDOH EAL: 17 mg/kg; C/I: 23 mg/kg,Soil,"Hālawa Stream, GW",Likely contamination through groundwater to Halawa stream,"Neurotoxicological effects: headaches tremors, seizures, parkinsons disease. Causes liver damage. Increased incidence of liver and lung tumors with prolonged exposure. Affects female fertility, menstrual cycles, birth defects, other endocrine issues. Ingestion causes GI issues",Soil management plan (2012) details plans to excavate contaminated soil into burial pits to limit future residential exposure,site location: https://eha-cloud.doh.hawaii.gov/iHEER/#!/viewer?siteId=1160 Coast Guard MFH Red Hill Makai.png,2012,"SMP: (Terta Tech, 2012) Pesticde Soil MP, Red Hill Aliamanu Military Reservation.pdf. Background info: (Tetra Tech, 2011) Pesticide Soil Invest. and MP. Island Palm Communities LLC.pdf",220,,157.9098866°W 21.3679580°N ,
Dieldrin,Organochlorine pesticide,Island Palm Communities,Residential Termiticide Use,Mixed,1,1914-1990,Contained,Hālawa,11 mg/kg,HDOH EAL: 2.5 mg/kg; C/I: 24 mg/kg,Soil,"Hālawa Stream, GW",Likely contamination through groundwater to Halawa stream,"Short-term exposure can cause symptoms such as headaches, dizziness, nausea, and irritability. Long-term exposure can lead to more severe health issues, including liver damage, neurotoxicity (such as seizures and tremors), and immune system suppression. Sttudies have linked exposure to liver and lung cancer",Soil management plan (2012) details plans to excavate contaminated soil into burial pits to limit future residential exposure,,,,221,,157.9098866°W 21.3679580°N ,
DDT Compounds,Organochlorine pesticide,Red Hill Naval Housing Area,Residential Termiticide Use,Urban,1,1943-1990,Historic,Hālawa,190 mg/kg,HDOH EAL: 1.8 mg/kg; C/I 5.6 mg/kg,Soil,Groundwater,-,"DDT exposure has been linked to neurodevelopmental effects, including impaired cognitive function, learning disabilities, and behavioral disorders. In animal studies, prenatal and early-life exposure to DDT has been associated with alterations in brain structure and function. Also reproductive abornamilities","In 2006, buildings were proposed for demolition. Residents stil living there.",p.62: sample location,2007,https://drive.google.com/file/d/1E8A439CFzU520UhxiODVWQrZhWf5wkzb/view?usp=drive_link,222,,157.9067172°W 21.3668413°N ,
DDT Compounds,Organochlorine pesticide,Red Hill Naval Housing Area,Residential Termiticide Use,Urban,1,1943-1990,Historic,Hālawa,44 mg/kg,HDOH EAL: 1.9 mg/kg; C/I 5.6 mg/kg,Soil,Groundwater,-,"DDE is a breakdown product of DDT. Short-term exposure typically results in minimal acute symptoms, but long-term exposure potentially causes reproductive and developmental problems, liver damage, and disruption of the endocrine system. There is also evidence that suggests exposure may be associated with breast cancer","In 2006, buildings were proposed for demolition. Residents stil living there.",,,"(OMC, 2006) Final Phase I ESA: Red Hill Naval Housing Area.pdf",223,,157.9067172°W 21.3668413°N ,
DDT Compounds,Organochlorine pesticide,Red Hill Naval Housing Area,Residential Termiticide Use,Urban,1,1943-1990,Historic,Hālawa,16 mg/kg,HDOH EAL: 2.2 mg/kg,Soil,Groundwater,-,DDT Compounds,"In 2006, buildings were proposed for demolition. Residents stil living there.",,,,224,,157.9067172°W 21.3668413°N ,
Hepthachlor Epoxide,Organochlorine pesticide,Red Hill Naval Housing Area,Residential Termiticide Use,Urban,1,1943-1990,Historic,Hālawa,0.08 mg/kg,HDOH EAL: 0.2 mg/kg,Soil,Groundwater,-,"""animal studies show that heptachlor epoxide is very toxic to humans and animals. Long-term exposure can affect the liver. Animals studied have shown enlarged livers, damage to liver and kidney tissue, and increased red blood cells. Animals also experienced tremors and convulsions. Animals fed heptachlor developed liver cancer.""","In 2006, buildings were proposed for demolition. Residents stil living there.",,,,225,,157.9067172°W 21.3668413°N ,
Aldrin,Organochlorine pesticide,Waiawa Gulch Aviation Supply (Pearl City Industrial Park),Misc. dumping activities,Urban,1,Unknown,Historic,Waiawa,25 mg/kg,HDOH EAL: 3.9 mg/kg; C/I: 8.4 mg/kg,Soil,Waiawa Stream,Located within Waiawa stream streambed. High risk of transport,"Aldrin is highly toxic. Short-term exposure can lead to acute neurological symptoms such as headaches, dizziness, and nausea, while severe cases may cause convulsions and respiratory failure. Long-term exposure is linked to chronic neurological damage, liver toxicity, and an increased risk of liver cancer","Open to public, but not heavily trafficked. Does exist wihtin residential area","Latitude: 21.412778 , Longitude: -157.980000 (USEPA)",2010,https://eha-cloud.doh.hawaii.gov/iheer/api/documents/201633/download,226,,157.9897298°W 21.4221625°N,
Dieldrin,Organochlorine pesticide,Waiawa Gulch Aviation Supply (Pearl City Industrial Park),Misc. dumping activities,Urban,1,Unknown,Historic,Waiawa,56 mg/kg,HDOH EAL: 2.5 mg/kg; C/I: 24 mg/kg,Soil,Waiawa Stream,Located within Waiawa stream streambed. High risk of transport,"Short-term exposure can cause symptoms such as headaches, dizziness, nausea, and irritability. Long-term exposure can lead to more severe health issues, including liver damage, neurotoxicity (such as seizures and tremors), and immune system suppression. Sttudies have linked exposure to liver and lung cancer","Open to public, but not heavily trafficked. Does exist wihtin residential area",,,"(USEPA, 2010) Preliminary Assess/SI Report. Waiawa Gulch Industrial Park/Stream.pdf",227,,157.9897298°W 21.4221625°N,
DDT Compounds,Organochlorine pesticide,Waiawa Gulch Aviation Supply (Pearl City Industrial Park),Misc. dumping activities,Urban,1,Unknown,Historic,Waiawa,10 mg/kg,HDOH EAL: 1.9 mg/kg; C/I 5.6 mg/kg,Soil,Waiawa Stream,Located within Waiawa stream streambed. High risk of transport,"DDE is a breakdown product of DDT. Short-term exposure typically results in minimal acute symptoms, but long-term exposure potentially causes reproductive and developmental problems, liver damage, and disruption of the endocrine system. There is also evidence that suggests exposure may be associated with breast cancer","Open to public, but not heavily trafficked. Does exist wihtin residential area",,,,228,,157.9897298°W 21.4221625°N,
DDT Compounds,Organochlorine pesticide,Waiawa Gulch Aviation Supply (Pearl City Industrial Park),Misc. dumping activities,Urban,1,Unknown,Historic,Waiawa,7.7 mg/kg,HDOH EAL: 1.8 mg/kg; C/I 5.6 mg/kg,Soil,Waiawa Stream,Located within Waiawa stream streambed. High risk of transport,"DDT exposure has been linked to neurodevelopmental effects, including impaired cognitive function, learning disabilities, and behavioral disorders. In animal studies, prenatal and early-life exposure to DDT Compounds has been associated with alterations in brain structure and function. Also reproductive abornamilities","Open to public, but not heavily trafficked. Does exist wihtin residential area",,,,229,,157.9897298°W 21.4221625°N,
