OBJECTID,Number,Contaminant,Contaminant Type,Contamination Area,Contamination Source,Land Use Type,Date of Pollution Event,Ongoing or Historic Contamination,Ahupuaʻa,Detection Level,Advisory/Regulatory Level,Media where contaminant was measured,Most likely impacted water body,Threat of spread?,Relative Health Risk,Community Health Risk,Other Notes,Year Published,Source,ID,MAP Notes,Coordinates,Field22,x,y
171,210,Phenanthrene,Polycyclic Aromatic Hydrocarbons,Hālawa View Apartments,Hālawa View Apartments,Residential,1900s-1971,"Historic, Contained",Hālawa,53.0 µg/L,HDOH EAL: 2.3 µg/L,Groundwater,Hālawa Stream,Contamination is in isolated concrete rectangular basin. Should not pose exposure risk unless further exposed," Exposure to phenanthrene can cause skin and respiratory irritation, with potential for dermatitis and bronchitis. Long-term exposure may increase cancer risk due to genotoxic effects. Eye irritation and systemic toxicity are also concerns with high-level exposure","New apartment building, potential pathway to residents if contamination improperly contained",,,,210,,157.9365163°W 21.3649811°N ,,-17581410.758,2435489.205
172,211,Anthracene,Polycyclic Aromatic Hydrocarbons,Hālawa View Apartments,Hālawa View Apartments,Residential,1900s-1971,"Historic, Contained",Hālawa,2.1 µg/L,HDOH EAL: 0.02 µg/L,Groundwater,Hālawa Stream,Contamination is in isolated concrete rectangular basin. Should not pose exposure risk unless further exposed,"Exposure to anthracene can cause skin and eye irritation. Inhalation may lead to respiratory irritation, and ingestion can cause gastrointestinal distress. While not classified as a carcinogen, anthracene can be present with other carcinogenic PAHs.","New apartment building, potential pathway to residents if contamination improperly contained",,,,211,,157.9365163°W 21.3649811°N ,,-17581416.872,2435499.21
173,212,Fluoranthene,Polycyclic Aromatic Hydrocarbons,Hālawa View Apartments,Hālawa View Apartments,Residential,1900s-1971,"Historic, Contained",Hālawa,3.6 µg/L,HDOH EAL: 0.8 µg/L,Groundwater,Hālawa Stream,Contamination is in isolated concrete rectangular basin. Should not pose exposure risk unless further exposed," Exposure to fluoranthene can lead to skin and eye irritation and respiratory issues if inhaled. While not classified as a carcinogen, fluoranthene is often found with other carcinogenic PAHs, posing potential health risks through long-term exposure.","New apartment building, potential pathway to residents if contamination improperly contained",,,,212,,157.9365163°W 21.3649811°N ,,-17581419.651,2435489.761
174,213,Benzo[a]anthracene ,Polycyclic Aromatic Hydrocarbons,Hālawa View Apartments,Hālawa View Apartments,Residential,1900s-1971,"Historic, Contained",Hālawa,0.77 µg/L,HDOH EAL: 0.027 µg/L,Groundwater,Hālawa Stream,Contamination is in isolated concrete rectangular basin. Should not pose exposure risk unless further exposed,"Chronic exposure to benzo(a)anthracene and other PAHs can lead to diminished immune function, respiratory issues, liver damage, and other systemic effects​, as well as causing genetic mutations that may lead to cancer","New apartment building, potential pathway to residents if contamination improperly contained",,,,213,,157.9365163°W 21.3649811°N ,,-17581410.202,2435477.533
175,214,Chrysene,polycyclic Aromatic Hydrocarbons,Hālawa View Apartments,Hālawa View Apartments,Residential,1900s-1971,"Historic, Contained",Hālawa,1.6 µg/L,HDOH EAL: 1.0 µg/L,Groundwater,Hālawa Stream,Contamination is in isolated concrete rectangular basin. Should not pose exposure risk unless further exposed,"Chrysene is classified as a possible human carcinogen. Exposure can cause skin, eye, and respiratory irritation, and chronic exposure may increase cancer risk. Chrysene's health effects are compounded by its presence in mixtures with other PAHs.","New apartment building, potential pathway to residents if contamination improperly contained",,,,214,,157.9365163°W 21.3649811°N ,,-17581429.1,2435468.64
176,215,Benzo[a]pyrene,polycyclic Aromatic Hydrocarbons,Hālawa View Apartments,Hālawa View Apartments,Residential,1900s-1971,"Historic, Contained",Hālawa,0.19 µg/L,HDOH EAL: 1.6 µg/L,Groundwater,Hālawa Stream,Contamination is in isolated concrete rectangular basin. Should not pose exposure risk unless further exposed,"Exposure to BaP strongly associated with increased risk of cancer (lung, bladder, skin). Adverse affects on reproductive health: decreased fertility and fetal abnormalities. Mutagenic. Link to cardiovascular disease and stroke","New apartment building, potential pathway to residents if contamination improperly contained",,,,215,,157.9365163°W 21.3649811°N ,,-17581417.428,2435461.97
177,216,Dieldrin,Organochlorine Pesticide,Hālawa View Apartments,Hālawa View Apartments,Residential,1900s-1971,"Historic, Contained",Hālawa,0.084 µg/L,HDOH EAL: 0.0019 µg/L,Groundwater,Hālawa Stream,Contamination is in isolated concrete rectangular basin. Should not pose exposure risk unless further exposed,"Short-term exposure can cause symptoms such as headaches, dizziness, nausea, and irritability. Long-term exposure can lead to more severe health issues, including liver damage, neurotoxicity (such as seizures and tremors), and immune system suppression. Sttudies have linked exposure to liver and lung cancer","New apartment building, potential pathway to residents if contamination improperly contained",,,,216,,157.9365163°W 21.3649811°N ,,-17581407.979,2435468.64
178,217,Total PCBs,Chlorinated Hydrocarbon,Hālawa View Apartments,Hālawa View Apartments,Residential,1900s-1971,"Historic, Contained",Hālawa,2.9 µg/L,HDOH EAL: 0.014 µg/L,Groundwater,Hālawa Stream,Contamination is in isolated concrete rectangular basin. Should not pose exposure risk unless further exposed,"Exposure to PCBs can cause skin conditions like chloracne and eye irritation. Chronic exposure may lead to liver damage, immune system suppression, endocrine disruption, and increased cancer risk. PCBs are classified as probable human carcinogens and can cause neurodevelopmental issues in children.","New apartment building, potential pathway to residents if contamination improperly contained",,,,217,,157.9365163°W 21.3649811°N ,,-17581407.381,2435457.718
179,218,Heptachlor,Organochlorine Pesticide,Hālawa Military Housing Neighborhood,Hālawa Military Housing Neighborhood,Residential,Unspecified,Historic,Hālawa,23 mg/kg,HDOH EAL: 1.3 mg/kg; C/I: 5.6 mg/kg,Soil,"Hālawa Stream, GW",Likely contamination through groundwater to Halawa stream,"Short-term exposure can cause symptoms such as dizziness, headaches, irritability, and convulsions. Long-term exposure has been linked to liver damage, immune system suppression, and increased cancer risk, particularly liver and adrenal tumors",Drinking water contamination not considered a threat. Potential direct dermal exposure from nearby workers,Halawa Military Communities (ID 218).png,2007,"(OMC, 2007) Final Pesticide Soil MP, Ohana Military Communities LLC.pdf",218,,157.9241894°W 21.3754122°N ,,-17580026.485,2436732.386
180,219,TPH-Diesel,hydrocarbon (petroleum),Hawaiian cement,Hawaiʻian cement,Urban,1973-1990s,Historic,Hālawa,"4,318 mg/kg",HDOH EAL: 180 mg/kg; C/I: 210 mg/kg,Soil,"Hālawa Stream, GW",Likely contamination through groundwater to Halawa stream,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.",Drinking water contamination not considered a threat. Potential direct dermal exposure from nearby workers,site location: p.25,2018,"(DOH, 2018) EHA: Hawaiian Cement Parking Lot.pdf",219,,157.9029513°W 21.3743053°N ,,-17577682.976,2436579.827
181,220,Chlordane,Organochlorine Pesticide,Island Palm Communities,Island Palm Communities,Military/Agriculture,Plantation: 1914-1930; Military: 1914-2005,"Historic, Contained",Hālawa,73 mg/kg,HDOH EAL: 17 mg/kg; C/I: 23 mg/kg,Soil,"Hālawa Stream, GW",Likely contamination through groundwater to Halawa stream,"Neurotoxicological effects: headaches tremors, seizures, parkinsons disease. Causes liver damage. Increased incidence of liver and lung tumors with prolonged exposure. Affects female fertility, menstrual cycles, birth defects, other endocrine issues. Ingestion causes GI issues",Soil management plan (2012) details plans to excavate contaminated soil into burial pits to limit future residential exposure,site location: https://eha-cloud.doh.hawaii.gov/iHEER/#!/viewer?siteId=1160 Coast Guard MFH Red Hill Makai.png,2012,"SMP: (Terta Tech, 2012) Pesticde Soil MP, Red Hill Aliamanu Military Reservation.pdf. Background info: (Tetra Tech, 2011) Pesticide Soil Invest. and MP. Island Palm Communities LLC.pdf",220,,157.9098866°W 21.3679580°N ,,-17578449.731,2435806.678
182,221,Dieldrin,Organochlorine Pesticide,Island Palm Communities,Island Palm Communities,Military/Agriculture,Plantation: 1914-1930; Military: 1914-2006,"Historic, Contained",Hālawa,11 mg/kg,HDOH EAL: 2.5 mg/kg; C/I: 24 mg/kg,Soil,"Hālawa Stream, GW",Likely contamination through groundwater to Halawa stream,"Short-term exposure can cause symptoms such as headaches, dizziness, nausea, and irritability. Long-term exposure can lead to more severe health issues, including liver damage, neurotoxicity (such as seizures and tremors), and immune system suppression. Sttudies have linked exposure to liver and lung cancer",Soil management plan (2012) details plans to excavate contaminated soil into burial pits to limit future residential exposure,,,,221,,157.9098866°W 21.3679580°N ,,-17578464.213,2435807.127
183,222,DDT,Organochlorine Pesticide,Red Hill Naval Housing Area,Red Hill Naval Housing Area,Military/Agriculture,Undet.,Historic,Hālawa,190 mg/kg,HDOH EAL: 1.8 mg/kg; C/I 5.6 mg/kg,Soil,Groundwater,-,"DDT exposure has been linked to neurodevelopmental effects, including impaired cognitive function, learning disabilities, and behavioral disorders. In animal studies, prenatal and early-life exposure to DDT has been associated with alterations in brain structure and function. Also reproductive abornamilities","In 2006, buildings were proposed for demolition. Residents stil living there.",p.62: sample location,2007,https://drive.google.com/file/d/1E8A439CFzU520UhxiODVWQrZhWf5wkzb/view?usp=drive_link,222,,157.9067172°W 21.3668413°N ,,-17578282.108,2435694.613
184,223,DDE,Organochlorine Pesticide,Red Hill Naval Housing Area,Red Hill Naval Housing Area,Military/Agriculture,Undet.,Historic,Hālawa,44 mg/kg,HDOH EAL: 1.9 mg/kg; C/I 5.6 mg/kg,Soil,Groundwater,-,"DDE is a breakdown product of DDT. Short-term exposure typically results in minimal acute symptoms, but long-term exposure potentially causes reproductive and developmental problems, liver damage, and disruption of the endocrine system. There is also evidence that suggests exposure may be associated with breast cancer","In 2006, buildings were proposed for demolition. Residents stil living there.",,,"(OMC, 2006) Final Phase I ESA: Red Hill Naval Housing Area.pdf",223,,157.9067172°W 21.3668413°N ,,-17578099.497,2435688.97
185,224,DDD,Organochlorine Pesticide,Red Hill Naval Housing Area,Red Hill Naval Housing Area,Military/Agriculture,Undet.,Historic,Hālawa,16 mg/kg,HDOH EAL: 2.2 mg/kg,Soil,Groundwater,-,"DDD is a breakdown product of DDT. Short-term exposure generally does not result in acute symptoms, but long-term exposure has been linked to liver and kidney damage, endocrine disruption, and reproductive issues. Classified as a probable human carcinogen, with evidence suggesting an increased risk of liver cancer.","In 2006, buildings were proposed for demolition. Residents stil living there.",,,,224,,157.9067172°W 21.3668413°N ,,-17578056.429,2435712.161
186,225,Hepthachlor Epoxide,Organochlorine Pesticide,Red Hill Naval Housing Area,Red Hill Naval Housing Area,Military/Agriculture,Undet.,Historic,Hālawa,0.08 mg/kg,HDOH EAL: 0.2 mg/kg,Soil,Groundwater,-,"""animal studies show that heptachlor epoxide is very toxic to humans and animals. Long-term exposure can affect the liver. Animals studied have shown enlarged livers, damage to liver and kidney tissue, and increased red blood cells. Animals also experienced tremors and convulsions. Animals fed heptachlor developed liver cancer.""","In 2006, buildings were proposed for demolition. Residents stil living there.",,,,225,,157.9067172°W 21.3668413°N ,,-17578095.658,2435716.221
187,226,Aldrin,Organochlorine Pesticide,Waiawa Gulch Aviation Supply (Pearl City Industrial Park),Waiawa Gulch Aviation Supply (Pearl City Industrial Park),Industrial/residential,,Historic,Waiawa,25 mg/kg,HDOH EAL: 3.9 mg/kg; C/I: 8.4 mg/kg,Soil,Waiawa Stream,Located within Waiawa stream streambed. High risk of transport,"Aldrin is highly toxic. Short-term exposure can lead to acute neurological symptoms such as headaches, dizziness, and nausea, while severe cases may cause convulsions and respiratory failure. Long-term exposure is linked to chronic neurological damage, liver toxicity, and an increased risk of liver cancer","Open to public, but not heavily trafficked. Does exist wihtin residential area",Latitude:        21.412778 Longitude:        -157.980000 (USEPA),2010,https://eha-cloud.doh.hawaii.gov/iheer/api/documents/201633/download,226,,157.9897298°W 21.4221625°N,,-17586193.039,2441208.348
